line_n	position_in_line	token	decoded	class
37	5	cheokeey	CH[khii/wind]+/š/+/ts/+/od/	CH
37	6	qokeey	QO[definiteness]+/ts/+/od/	QO
37	7	chedl	CH[khii/wind]+/∅/+/ug/	CH
37	8	al	/a/+/ug/	AL
37	9	lkair	/ug/+/ts/+/a/+/k/	GLYPH
37	10	alkeedy	AL[intensifier]+/ts/+/∅/+/od/	AL
37	11	ram	/k/+/a/+/m/	GLYPH
38	0	dcheeody	/∅/+/ŋ/+/š/+/∅/+/od/	GLYPH
38	1	cheedy	CH[khii/wind]+ee[intensif]+/∅/+/od/	CH
38	2	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
38	3	otedy	OT[od/stellar]+/∅/+/od/	OT
38	4	qeeey	/od/	GLYPH
38	5	chey	CH[khii/wind]+/od/	CH
39	0	poro	p[article]+/š/+/k/+/š/	P-ART
39	1	l	/ug/	GLYPH
39	2	tedo	/t/+/∅/+/š/	GLYPH
39	3	lchdain	/ug/+/ŋ/+/∅/+/a/	GLYPH
39	4	qokar	QO[definiteness]+/ts/+/a/+/k/	QO
39	5	otedy	OT[od/stellar]+/∅/+/od/	OT
39	6	otarar	OT[od/stellar]+/a/+/k/+/a/+/k/	OT
39	7	yty	/od/+/t/+/od/	GLYPH
39	8	sho	SH[shim/essence]+/š/	SH
39	9	qotedy	QO[definiteness]+/t/+/∅/+/od/	QO
39	10	oteedy	OT[od/stellar]+ee[intensif]+/∅/+/od/	OT
39	11	okedy	ug-ed[extraction-classified]	OK
40	0	okor	OK[ug/extract]+/š/+/k/	OK
40	1	aiin	/a/	GLYPH
40	2	okeedy	OK[ug/extract]+ee[intensif]+/∅/+/od/	OK
40	3	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
40	4	okeeom	OK[ug/extract]+ee[intensif]+/š/+/m/	OK
40	5	cheykeeed	CH[khii/wind]+/od/+/ts/+/∅/	CH
40	6	chol	khii-dat[for-vital-wind]	CH
40	7	qekeey	/ts/+/od/	GLYPH
40	8	or	/š/+/k/	GLYPH
40	9	aiin	/a/	GLYPH
40	10	chckhom	CH[khii/wind]+CK[khiig/pharma-wind]+/š/+/m/	CH
41	0	sheedain	SH[shim/essence]+ee[intensif]+/∅/+/a/	SH
41	1	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
41	2	chokeedy	CH[khii/wind]+OK[ug/extract]+ee[intensif]+/∅/+/od/	CH
41	3	qoteody	QO[definiteness]+/t/+/š/+/∅/+/od/	QO
41	4	keesho	/ts/+/dar/+/š/	GLYPH
41	5	daiin	CLOSE[boundary]	MORPH
41	6	chedy	khii-ed[vital-wind-classified]	CH
41	7	keedal	/ts/+/∅/+/a/+/ug/	GLYPH
41	8	as	/a/+/dar/	GLYPH
41	9	keodky	/ts/+/š/+/∅/+/ts/+/od/	GLYPH
42	0	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
42	1	qokeey	QO[definiteness]+/ts/+/od/	QO
42	2	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
42	3	qokeey	QO[definiteness]+/ts/+/od/	QO
42	4	chedal	CH[khii/wind]+/∅/+/a/+/ug/	CH
42	5	chedy	khii-ed[vital-wind-classified]	CH
42	6	qokeey	QO[definiteness]+/ts/+/od/	QO
42	7	okeedain	OK[ug/extract]+ee[intensif]+/∅/+/a/	OK
42	8	otain	OT[od/stellar]+/a/	OT
42	9	oolals	/š/+/š/+/ug/+/a/+/ug/+/dar/	GLYPH
43	0	olke?y	OL[grade]+/ts/+/od/	OL
43	1	okey	OK[ug/extract]+/od/	OK
43	2	lokeey	/ug/+/š/+/ts/+/od/	GLYPH
43	3	qokedy	qok-ed[def-extraction-classified]	QO
43	4	ol	/š/+/ug/	OL
43	5	kechy	/ts/+/ŋ/+/od/	GLYPH
43	6	chedar	CH[khii/wind]+/∅/+/a/+/k/	CH
43	7	olal	OL[grade]+/a/+/ug/	OL
43	8	oedy	/š/+/∅/+/od/	GLYPH
43	9	qckhy	/ŋ/+/ts/+/od/	GLYPH
43	10	cheam	CH[khii/wind]+/a/+/m/	CH
44	0	ychey	/od/+/ŋ/+/od/	GLYPH
44	1	chey	CH[khii/wind]+/od/	CH
44	2	okar	OK[ug/extract]+/a/+/k/	OK
44	3	charam	CH[khii/wind]+/a/+/k/+/a/+/m/	CH
44	4	otam	OT[od/stellar]+/a/+/m/	OT
44	5	cheody	CH[khii/wind]+/š/+/∅/+/od/	CH
45	0	dain	/∅/+/a/	GLYPH
45	1	sheckhy	SH[shim/essence]+/ŋ/+/ts/+/od/	SH
45	2	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
45	3	keey	/ts/+/od/	GLYPH
45	4	lchedy	/ug/+/ŋ/+/∅/+/od/	GLYPH
45	5	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
45	6	qokedy	qok-ed[def-extraction-classified]	QO
45	7	chedy	khii-ed[vital-wind-classified]	CH
45	8	dalkedy	/∅/+/a/+/ug/+/ts/+/∅/+/od/	GLYPH
45	9	qokedy	qok-ed[def-extraction-classified]	QO
45	10	dal	dal[TO]	MORPH
46	0	yteedy	/od/+/t/+/∅/+/od/	GLYPH
46	1	qokeed	QO[definiteness]+/ts/+/∅/	QO
46	2	y	/od/	GLYPH
46	3	qokey	QO[definiteness]+/ts/+/od/	QO
46	4	otedy	OT[od/stellar]+/∅/+/od/	OT
46	5	okedy	ug-ed[extraction-classified]	OK
46	6	qokaiin	QO[definiteness]+/ts/+/a/	QO
46	7	cheodar	CH[khii/wind]+/š/+/∅/+/a/+/k/	CH
46	8	cheey	CH[khii/wind]+ee[intensif]+/od/	CH
46	9	qokedy	qok-ed[def-extraction-classified]	QO
46	10	al	/a/+/ug/	AL
47	0	yched	/od/+/ŋ/+/∅/	GLYPH
47	1	chockhey	CH[khii/wind]+/š/+/ŋ/+/ts/+/od/	CH
47	2	dain	/∅/+/a/	GLYPH
47	3	sheol	SH[shim/essence]+/š/+/ug/	SH
47	4	okedy	ug-ed[extraction-classified]	OK
